Name,Followers,Friends
ineptprogrammer,0,3.8073549221
Adeosun Oluwagbemiga,0,6.2854022189
daniellagracedupont,0,4.6438561898
udochi nweke,0,4
I LOVE BREAD,0,12.0140204703
Puneeth Sh,0,2
Renee,0,4.1699250014
Lhuaroto,0,5.8826430494
SugarRuy,0,2
Hafizullah Dar,0,5.2479275134
Old Nominion,0,5.7279204546
Karl Mamiya,0,6.2094533656
Elvis Wolfram,0,5.7548875022
ahmedkalka97,0,3.8073549221
John McManus,0,2
teknicaldy,0,4.8073549221
carmen heister,1,7.6510516912
NumberOne,1,6.7813597135
Hung Do,1,3.3219280949
anaas,1,1.5849625007
Milbala,1,5.0443941194
rahmawati dwi wiwi,1,4.9541963104
PuneethBikks,1.5849625007,5.9068905956
Rahul Dhruv,1.5849625007,7.0443941194
Neha Niphadkar,1.5849625007,3
Bubba Dee,1.5849625007,3.5849625007
Sahel,1.5849625007,6.8454900509
Babitha Bokka,1.5849625007,5.2479275134
Mridul Sen,1.5849625007,4.3219280949
aml eyde,1.5849625007,6.3923174228
Mohamed Shaaban,1.5849625007,5.7813597135
Kyle Jackson,1.5849625007,3
Dr.kiran v Ainenwar,1.5849625007,6.3750394313
Lloyd Nelson,1.5849625007,3
IRI 2019,2,6.4594316186
Jan Strack,2,6.5077946402
Huan Huang,2,8.7846348456
JS Smith,2,5.9068905956
zeljko meter,2,5.2854022189
Chglass,2,6.6147098441
Dora RedC,2.3219280949,7.1395513524
KAVYASHREE SIRIGERE PRAKASH,2.3219280949,6.2667865407
YUSUF IFEOLUWA,2.3219280949,5.7813597135
Aijaz Ahmad,2.3219280949,6.6438561898
Patrick Cox,2.3219280949,4.9068905956
Karen Vaughan,2.3219280949,4.3923174228
Lana Kinnie,2.3219280949,6.9772799235
Vamsi Krishna,2.5849625007,6.5698556083
BIRNDL,2.5849625007,5.4594316186
Muse,2.5849625007,6.5235619561
MichaelMicros,2.5849625007,4.3923174228
James Dill,2.5849625007,6.0874628413
sooraya sadulla,2.5849625007,7.9600019321
Pete Bruce,2.5849625007,4.7004397181
J. Stoddert,2.5849625007,6.475733431
Eric Littley,2.5849625007,5.5545888517
Mathew Chaney,2.5849625007,3.5849625007
george micros,2.5849625007,5.0443941194
gnana prakash,2.8073549221,3.5849625007
Matthew Stevenson,2.8073549221,5.4262647547
Helen jean,2.8073549221,6.3923174228
a.,2.8073549221,8.7414669864
Anton,2.8073549221,9.7142455177
dhombe,2.8073549221,6.4429434958
Karen Vaughan,2.8073549221,5.8328900142
Brooks Childers,2.8073549221,3.4594316186
Justin Whitlock,3,7.0552824355
