Name,Followers,Friends
beerlabelbot,7.3037807482,0
Kalev Leetaru,9.4491486454,0
Emergency Kittens,22.7987476577,0
PastPages,2.8073549221,0
whatdiditlooklike,5.8826430494,0
Shit Academics Say,18.2190976018,0
TPDL2012,5.1699250014,0
511 Hampton Roads,13.8246604679,0
lagoze,5.5545888517,0
Lee Dirks,8.2714630279,0
StoryGraph,5.7548875022,1
Black Diamond Trophy,10.62388149,1
Editing the Wapo,5.9307373376,1
Local Memory Project,5.7279204546,1
Simeon Warner,6.022367813,1
Sci Hub,16.4854991563,1
UberFacts,23.7395094157,1
Chuck Cartledge,3.9068905956,1
SIGIR Filter,8.3575520046,1
I Can Haz Memento,5.5235619561,1
W3CDataontheWeb,7.6438561898,1
Unpaywall Data,10.7927902943,1.5849625007
edwardafox,7.4998458871,1.5849625007
Unpaywall,12.9531051506,2
StormCrawler project,7.2573878427,2
ACM Hypertext 2015,5.2854022189,2.5849625007
Tabula,11.1686721181,2.8073549221
Academic Pain,15.4129336501,3.4594316186
jcdl2012,5.9541963104,3.4594316186
Brooks Childers,2.8073549221,3.4594316186
LC Labs,12.6481328457,3.5849625007
One R Tip a Day,15.8749573409,3.5849625007
ACM Digital Library,10.7764330324,3.7004397181
WeRateDogs™,22.9014779063,3.7004397181
Google AI,20.3359071429,3.9068905956
Half An Onion,19.2619319199,4
elizabeth burns,6.1292830169,4.0874628413
Kenneth Diedrich,4.5849625007,4.3923174228
DLib2014,6.4262647547,4.3923174228
Internet Memory,9.2691266791,4.4594316186
NEH Digital Humanities,14.4574450088,4.6438561898
Gary Marchionini,9.5216004397,4.6438561898
Pete Bruce,2.5849625007,4.7004397181
Susan Zehra,4.2479275134,4.8073549221
WebScience,6.3037807482,4.8073549221
ECIR 2018,8.7976615259,4.8579809951
zimeon,6.9541963104,4.8579809951
angry.,12.9203528554,4.8579809951
The Wayback Machine,10.7862696276,4.9068905956
Kayla Fox,4.4594316186,4.9068905956
Maciej Ceglowski,13.6970761588,4.9541963104
shubham jain,4.8579809951,5
Norman Meuschke,4.9068905956,5.0874628413
Rita Soulen,4.3923174228,5.1699250014
Norfolk Data Science,5.6438561898,5.2094533656
757RUG,5.5235619561,5.2479275134
Amber Boehnlein,3.4594316186,5.2479275134
MementoWeb,6.4429434958,5.2854022189
slobodan milanko,3.1699250014,5.3219280949
Joan Smith,4.9068905956,5.3575520046
iPRES2014,7.022367813,5.3923174228
Matthew Stevenson,2.8073549221,5.4262647547
Neil deGrasse Tyson,23.6490348713,5.4262647547
Dr. Neal Krawetz,11.0049226786,5.5849625007
B. Danette Allen,7.900866808,5.5849625007
End of Term Archive,8.1292830169,5.5849625007
Jiangping Chen,6.4093909361,5.6438561898
Social Feed Manager,8.6257088431,5.6438561898
IJDL,7.475733431,5.6438561898
Corren McCoy,5.3923174228,5.672425342
Victoria Stodden,11.7236609444,5.7004397181
Julianne Allen,3.1699250014,5.7004397181
All Things Graphed,7.3923174228,5.7279204546
Annika Hinze,5,5.7548875022
Lisa Lande,5.1699250014,5.7548875022
Karen Vaughan,2.8073549221,5.8328900142
"WS-DL Group, ODU CS",8.8008998999,5.8328900142
Black Metal Cats,17.0079798986,5.8579809951
Julien Masanes,7.8641861447,5.8579809951
JCDL 2018,7.1699250014,5.9541963104
Sylvain Hallé,6.6865005272,6.022367813
Dan Mazanek,5.7813597135,6.0443941194
amy_brand,8.9829935747,6.0874628413
Brenda Reyes,6.2854022189,6.0874628413
Justin Whitlock,3.5849625007,6.1497471195
Plinio Vargas,5,6.1497471195
EmoryIRLab,6.4594316186,6.1497471195
JCDL 2016,7.0768155971,6.2094533656
Autonomy Incubator,9.2526654325,6.2094533656
Daniel Gomes,7.3219280949,6.2479275134
RMap Project,6.3219280949,6.2667865407
Gavindya,4.3923174228,6.3037807482
Cat in the Sink?,15.6379550109,6.3037807482
Sampath Jayarathna,6.6293566201,6.3219280949
Roger A. Grimes,11.5206186806,6.3219280949
www2016,9.5603328342,6.3575520046
arXiv.org,12.977458818,6.3750394313
ipres2016,8.4676055501,6.3750394313
Katy Borner,10.8726748803,6.4594316186
Archivethe.net,8.0821490414,6.4594316186
Pinboard,15.4111468257,6.475733431
ODU Computer Science,7.9886846868,6.475733431
Cyber Security @ ODU,5.7548875022,6.5077946402
Alexander C. Nwala,7.9657842847,6.5545888517
George J Fowler,5.0874628413,6.5698556083
ecir2016,8.9425145053,6.6293566201
Sharon E. Farb,10.0334230015,6.672425342
Ilya Kreymer,8.4635243733,6.7142455177
Rebecca Lynn Cremona,6.4093909361,6.7548875022
TPDL 2016,6.7681843248,6.7813597135
WSDM 2019 Conference,10.6465587102,6.8201789624
Carole Goble,10.1032878084,6.8201789624
tpdl2015,6.5849625007,6.8328900142
WebArchivists,10.3476213686,6.8454900509
PortugueseWebArchive,9.3442959079,6.8454900509
Robin Ruggaber,5.7548875022,6.8579809951
Justin Littman,9.4838157773,6.8579809951
Raleigh Hokie,11.4604558963,6.8579809951
DoD Minerva,10.6174674653,6.8948177633
Mark Sanderson,11.0808175276,6.9068905956
Aliaksandr Birukou,7.5698556083,6.9188632373
Peplluis de la Rosa of no ETH away,9.1163439612,6.9188632373
ODU Science Pubs,6.9772799235,6.9541963104
David Smith,9.3442959079,6.9772799235
Dr. Terry L. Britt,6.6865005272,6.9886846868
TechSideline.com,13.9022808915,6.9886846868
The Virginian-Pilot,16.7991930696,7
Hany SalahEldeen,7.475733431,7
Hillary Michaels,3.7004397181,7.022367813
George Buchanan,8.8579809951,7.022367813
Gerry Grenier,8.4262647547,7.0552824355
Webarchive Austria,8.9541963104,7.0768155971
Jian Wu,5.7004397181,7.0874628413
Kari Heffner,2.5849625007,7.0874628413
[ bodhisattvaOS ],6.6865005272,7.0874628413
JCDL 2015 Conference,5.8579809951,7.0874628413
Race Of Gentlemen,10.9143851322,7.098032083
Mohamed Aturban,6.9772799235,7.098032083
M+PII,6.475733431,7.1085244568
The Virginian-Pilot Archives,9.9957671509,7.1085244568
Webrecorder,10.7406240445,7.1292830169
Sue Kimmel,8.1032878084,7.1395513524
Lulwah,5.7548875022,7.1395513524
Roy T. Fielding,13.4008794363,7.1395513524
code4lib,11.6886874232,7.1699250014
Juliana Freire,9.5018371849,7.1996723448
Ross Gore,7.1598713368,7.2094533656
Frank McCown,8.6220518195,7.2191685205
Virginia Tech Men's Basketball,14.9132166741,7.2288186905
The Web Conference,10.9751314569,7.2573878427
saikou Diallo,6.4262647547,7.2946207489
Virginia Tech Insider,11.7972562175,7.3398500029
Krzysztof Rechowicz,5.7279204546,7.3575520046
Helge Holzmann,7.1395513524,7.3575520046
Valentina,6.2094533656,7.3750394313
WSDM 2015,8.4838157773,7.3750394313
ndiipp,14.0814834381,7.3837042925
W3C,17.4376789346,7.3837042925
ACM Hypertext,8.1085244568,7.4008794363
Tom Cramer,9.9701058906,7.4093909361
The Heart Stompers + Gina D,7.6438561898,7.4178525149
Hussam Aldeen Hallak,5.5235619561,7.4838157773
Maheedhar Gunnam,5.6147098441,7.4998458871
Gail Dickinson,8.6073303137,7.5235619561
Daniel S. Katz,10.6582114828,7.5313814605
JCDL Conference,7.5545888517,7.5313814605
Will Stewart,12.6562013802,7.5313814605
Beth Plale,7.8703647196,7.5391588111
CBSSportsACC,11.3880172853,7.5698556083
WikiConference NA,8.9600019321,7.577428828
Brian Griffin,5.5849625007,7.5924570373
Stewart Brand,14.5494237084,7.5924570373
Laura Dietz,8.5887146356,7.5999128422
Nauman Siddique,5.4918530963,7.6366246205
Scott Ainsworth,7.2094533656,7.6510516912
